"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Hotelek lista teszt","1099","Hootel List","test","2026-07-08","passed","2026-07-08","TestHootel","test_hootel","",""
"A belépés tesztelése","1470","Hootel Login","test","2026-07-08","passed","2026-07-08","TestHootel","test_hootel","",""
