"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1096","test_hotel_list","test","2026-07-08","passed","2026-07-08","TestHootel","test_hootel","",""
"A belépés tesztelése","1575","Hootel Login","test","2026-07-08","passed","2026-07-08","TestHootel","test_hootel","",""
