"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Hotelek lista teszt","1094","Hootel List","test","2026-07-08","passed","2026-07-08","TestHootel","test_hootel","",""
"A belépés tesztelése","1804","Hootel Login","test","2026-07-08","broken","2026-07-08","TestHootel","test_hootel","",""
